date_amazon,date,id,price,price_online,price_amazon,sale_online,product_online,product_amazon,merchant,URL,imputed,COMMENTS,PRICETYPE,datediff,cat_id,category,retailer_id,retailer_s
2/16/2015,2/10/2015,041570003831,2.91,2.91,6.3,,Blue Diamond Natural Whole Almonds 6 oz,Blue Diamond Whole Natural Almonds 6 oz,Sold by Support for Missions and Fulfilled by Amazon. Gift-wrap available.,http://www.amazon.com/Blue-Diamond-Whole-Natural-Almonds/dp/B0005ZI6CY/ref=sr_1_1?ie=UTF8&qid=1424064612&sr=8-1&keywords=Blue+Diamond+Natural+Whole+Almonds+6+oz,,,,6,9999,Mix,53,USA_53
2/25/2015,2/23/2015,735282103247,5.49,5.49,5.49,,735282103247,"Munchkin Arm and Hammer Nursery Fresheners, Lavender/Citrus, 5 Count",Ships from and sold by Amazon.com. Gift-wrap available.,http://www.amazon.com/Munchkin-Hammer-Nursery-Fresheners-Lavender/dp/B0035ER58I/ref=sr_1_1?m=ATVPDKIKX0DER&ie=UTF8&qid=1424840485&sr=8-1&keywords=735282103247,,munchkin nursery freshener,,2,9999,Mix,53,USA_53
1/27/2016,1/20/2016,030050832,3.44,3.44,18.99,,Munchkin Bottle & Nipple Brush,"Munchkin Latch BPA-Free Baby Bottle, 8 Ounce, 2 Count",,http://www.amazon.com/Munchkin-Latch-BPA-Free-Bottle-Ounce/dp/B00I3WEXWI/ref=sr_1_1?ie=UTF8&qid=1453871247&sr=8-1&keywords=Munchkin+Bottle,1,,Regular Price,7,9999,Mix,53,USA_53
1/13/2016,1/11/2016,060140013,15.99,,79.99,,Room Essentials® Bedskirt,Room Essentials Full Gray Bed in a Bag Set Comforter Sheets Shams Bedskirt 8 Pc,Ships from and sold by Primrose Lane.,http://www.amazon.com/Room-Essentials-Comforter-Sheets-Bedskirt/dp/B015WUNWJS/ref=sr_1_1?ie=UTF8&qid=1452745072&sr=8-1&keywords=Room+Essentials%C2%AE+Bedskirt,,,Regular Price,2,9999,Mix,53,USA_53
1/28/2016,1/27/2016,245040447,0.94,,10.94,,Always Thin Daily Liners,"Always Incredibly Thin Regular Daily Liners, wrapped, 120 Count , Pack of 2",,http://www.amazon.com/Always-Incredibly-Regular-Liners-wrapped/dp/B0029NYQ9W/ref=sr_1_1?ie=UTF8&qid=1454041873&sr=8-1&keywords=Always+Thin+Daily+Liners,,,Regular Price,1,9999,Mix,53,USA_53
1/17/2016,1/11/2016,060160097,24.99,,29.99,,New York Jets Woven Tapestry Throw,NFL Acrylic Tapestry Throw Blanket,Ships from and sold by Amazon.com. Gift-wrap available.,http://www.amazon.com/York-Acrylic-Tapestry-Throw-Blanket/dp/B000V63G04/ref=sr_1_1?ie=UTF8&qid=1453090870&sr=8-1&keywords=New+York+Jets+Woven+Tapestry+Throw,,,Regular Price,6,9999,Mix,53,USA_53
6/9/2016,6/3/2016,072081212,49.99,49.99,46.42,,"BELLA Single Serve Dual Brew Coffee Maker""","BELLA 14392 Dual Brew Single Serve Coffee Maker, Silver/Black",Ships from and sold by Amazon.com. Gift-wrap available.,https://www.amazon.com/BELLA-14392-Single-Coffee-Silver/dp/B00NEXXT2Q/ref=sr_1_1?m=ATVPDKIKX0DER&ie=UTF8&qid=1465530500&sr=8-1&keywords=BELLA+Single+Serve+Dual+Brew+Coffee+Maker%22,,,Regular Price,6,9999,Mix,53,USA_53
1/28/2016,1/22/2016,035000762320,3.49,3.14,3.06,,Colgate® Total Advanced Whitening Toothpaste - 5.8...,"Colgate Total Advanced Whitening Toothpaste, 5.8 Ounce",,http://www.amazon.com/Colgate-Total-Advanced-Whitening-Toothpaste/dp/B001AE1144/ref=sr_1_1?ie=UTF8&qid=1454043025&sr=8-1&keywords=Colgate%C2%AE+Total+Advanced+Whitening+Toothpaste+-+5.8...,1,,Regular Price,6,9999,Mix,53,USA_53
1/24/2016,1/18/2016,062170151,10.99,,19.62,,AllerEase Ultimate Comfort Pillow Protector,Allerease Ultimate Protection and Comfort Temperature Balancing Pillow Protector - King,Ships from and sold by Amazon.com. Gift-wrap available.,http://www.amazon.com/Allerease-Protection-Temperature-Balancing-Protector/dp/B0187RXCAC/ref=sr_1_1?ie=UTF8&qid=1453695168&sr=8-1&keywords=AllerEase+Ultimate+Comfort+Pillow+Protector,,,Regular Price,6,9999,Mix,53,USA_53
2/4/2015,1/30/2015,080000495235,3.07,3.07,65.19,,StarKist Albacore White Tuna 6.4 oz,StarKist Albacore White Tuna In Water Pouch 6.4 oz (Pack of 12),Ships from and sold by Please and Thank You LLC.,http://www.amazon.com/StarKist-Albacore-White-Water-Pouch/dp/B00374UIHQ/ref=sr_1_1?ie=UTF8&qid=1423029172&sr=8-1&keywords=StarKist+Albacore+White+Tuna+6.4+oz,,,,5,9999,Mix,53,USA_53
