MUSEUM_ID,NAME,ADDRESS,CITY,STATE,POSTAL,COUNTRY,PHONE,URL
30,The Museum of Modern Art,11 W 53rd St,New York,New York,10019,USA,+1 212 708-9400,https://www.moma.org/
31,Pushkin State Museum of Fine Arts,12 Ulitsa Volkhonka,Moscow,,119019,Russia,+7 495 697-95-78,https://pushkinmuseum.art/
32,National Gallery of Victoria,180 St Kilda Rd,Melbourne,Victoria,3004,Australia,+61 (0)3 8620 2222,https://www.ngv.vic.gov.au/
33,São Paulo Museum of Art,"Av. Paulista, 1578 - Bela Vista",São Paulo,,01310-200,Brazil,+55 11 3149-5959,https://masp.org.br/
34,The State Hermitage Museum,Palace Square 2,St. Petersburg,,190000,Russia,7 812 710-90-79,https://www.hermitagemuseum.org/wps/portal/hermitage/
35,The Metropolitan Museum of Art,1000 5th Ave,New York,New York,10028,USA,+1 212 535-7710,https://www.metmuseum.org/
36,Museum Folkwang,Museumsplatz 1,Essen,,45128,Germany,49 201 8845000,https://www.museum-folkwang.de/en
37,Museum of Grenoble,5 Pl. de Lavalette,Grenoble,,38000,France,33 4 76 63 44 44,https://www.museedegrenoble.fr/1986-the-museum-in-english.htm
38,Musée des Beaux-Arts de Quimper,40 Pl. Saint-Corentin,Quimper,,29000,France,33 2 98 95 45 20,https://www.mbaq.fr/en/home-3.html
39,Nelson-Atkins Museum of Art,4525 Oak St,Kansas City,Missouri,64111,USA,+1 816 751-1278,https://www.nelson-atkins.org/
40,Musée du Louvre,Rue de Rivoli,Paris,,75001,France,33 1 40 20 50 50,https://www.louvre.fr/en
41,National Maritime Museum,Romney Rd,London,England,SE10 9NF,UK,44 20 8858 4422,https://www.rmg.co.uk/national-maritime-museum
42,Museum of Fine Arts Boston,465 Huntington Ave,Boston,Massachusetts,2115,USA,617-267-9300,https://www.mfa.org/
43,Rijksmuseum,Museumstraat 1,Amsterdam,,1071 XX,Netherlands,31 20 674 7000,https://www.rijksmuseum.nl/en/visit
44,Israel Museum,Derech Ruppin 11,Jerusalem,,,Israel,972 2-670-8811,https://www.imj.org.il/en
45,Kunsthaus Zürich,Heimplatz 1,Zurich,,8001,Switzerland,+41 44 253 84 84,https://www.kunsthaus.ch/en/
46,National Gallery of Art,Constitution Ave. NW,Washington,DC,20565,USA,+1 202 737-4215,https://www.nga.gov/
47,National Gallery,Trafalgar Square,London,England,WC2N 5DN,UK,+44 (0)20 7747 2885,https://www.nationalgallery.org.uk/
48,Mauritshuis Museum,Plein 29,Den Haag,,2511,Netherlands,+31 70 302 3456,https://www.mauritshuis.nl/en/
49,Musée d'Orsay,1 Rue de la Légion d'Honneur,Paris,,75007,France,+33 (0)1 40 49 48 14,https://www.musee-orsay.fr/en
50,The Prado Museum,"C. de Ruiz de Alarcón, 23", Madrid,,28014,Spain,+34 913 30 28 00,https://www.museodelprado.es/en
